Date,Open,High,Low,Close,Volume,,,,,
41869.00,574.53,582.91,574.42,580.57,1284100.00,,,,,
41870.00,583.40,585.73,582.40,585.25,978600.00,,,,,
41871.00,584.28,585.09,580.97,582.89,1036700.00,,,,,
41872.00,582.22,582.90,579.55,581.77,914800.00,,,,,
41873.00,581.99,583.63,579.05,580.96,789000.00,,,,,
41876.00,583.12,583.40,577.41,578.61,1361400.00,,,,,
41877.00,579.67,580.21,575.00,576.28,1639600.00,,,,,
41878.00,575.69,576.91,568.54,569.44,1703300.00,,,,,
41879.00,568.00,571.68,565.55,567.64,1292900.00,,,,,
41880.00,569.77,570.47,565.52,570.03,1083700.00,,,,,
41884.00,570.28,576.25,569.63,575.75,1578400.00,,,,,
41885.00,578.41,581.39,573.43,576.36,1215100.00,,,,,
41886.00,578.41,584.40,577.63,580.39,1458100.00,,,,,
41887.00,582.38,584.94,580.36,584.48,1632300.00,,,,,
41890.00,584.99,590.15,584.69,588.11,1431000.00,,,,,
41891.00,587.29,587.39,578.41,579.42,1287200.00,,,,,
41892.00,579.91,581.90,575.36,581.50,977300.00,,,,,
41893.00,578.77,580.22,574.68,579.76,1221000.00,,,,,
41894.00,579.41,580.05,572.89,574.04,1601600.00,,,,,
41897.00,571.37,573.38,566.65,571.53,1597500.00,,,,,
41898.00,571.19,579.91,571.09,578.36,1480300.00,,,,,
41899.00,578.42,585.91,577.19,583.17,1692800.00,,,,,
41900.00,585.39,587.93,583.40,587.66,1444500.00,,,,,
41901.00,589.88,594.85,587.89,594.45,3736600.00,,,,,
41904.00,592.19,592.32,581.86,585.76,1689500.00,,,,,
41905.00,585.24,585.24,579.41,579.54,1471400.00,,,,,
41906.00,579.87,588.02,578.93,586.38,1728100.00,,,,,
41907.00,585.94,586.37,572.61,573.49,1925900.00,,,,,
41908.00,574.48,577.66,573.09,575.52,1443600.00,,,,,
41911.00,570.18,576.61,569.61,574.78,1282400.00,,,,,
41912.00,575.35,578.26,571.28,575.78,1621700.00,,,,,
41913.00,574.43,576.00,565.46,566.71,1445400.00,,,,,
41914.00,565.76,570.34,561.78,568.52,1178400.00,,,,,
41915.00,571.48,575.64,570.93,573.70,1141700.00,,,,,
41918.00,577.22,579.41,572.87,575.77,1214600.00,,,,,
41919.00,572.83,573.69,562.20,562.20,1911300.00,,,,,
41920.00,564.02,572.31,555.96,570.93,1990800.00,,,,,
41921.00,569.62,569.93,557.53,559.34,2524800.00,,,,,
41922.00,556.19,563.58,542.56,543.00,3081900.00,,,,,
41925.00,543.50,548.00,531.64,531.75,2581600.00,,,,,
41926.00,537.42,545.69,531.71,536.47,2222500.00,,,,,
41927.00,529.56,531.34,516.88,528.58,3719300.00,,,,,
41928.00,517.58,527.98,513.59,523.07,3708500.00,,,,,
41929.00,525.81,529.53,507.14,509.77,5539300.00,,,,,
41932.00,508.06,520.33,506.71,519.41,2607500.00,,,,,
41933.00,523.75,525.35,517.69,525.10,2336200.00,,,,,
41934.00,528.44,538.32,527.35,531.25,2919200.00,,,,,
41935.00,537.84,545.72,534.38,542.49,2348800.00,,,,,
41936.00,542.87,543.39,534.32,538.30,1973100.00,,,,,
41939.00,535.56,542.92,535.56,539.29,1185300.00,,,,,
41940.00,541.51,547.48,540.14,547.40,1270900.00,,,,,
41941.00,548.49,552.67,545.48,547.83,1770500.00,,,,,
41942.00,547.45,551.29,542.02,548.80,1455600.00,,,,,
41943.00,557.82,558.04,553.23,557.55,2035000.00,,,,,
41946.00,553.98,556.37,551.72,553.70,1382200.00,,,,,
41947.00,551.49,553.98,547.80,552.59,1244200.00,,,,,
41948.00,555.28,555.28,542.56,544.43,2032200.00,,,,,
41949.00,544.01,545.39,539.49,540.56,1333200.00,,,,,
41950.00,544.71,544.71,537.20,539.53,1633700.00,,,,,
41953.00,539.98,548.09,539.54,545.99,1134600.00,,,,,
41954.00,546.99,550.43,544.80,548.78,965500.00,,,,,
41955.00,548.88,548.95,543.68,545.81,1129600.00,,,,,
41956.00,548.29,548.29,541.99,543.89,1339300.00,,,,,
41957.00,545.18,545.18,540.67,542.91,1289500.00,,,,,
41960.00,542.09,542.30,532.60,535.04,1726000.00,,,,,
41961.00,536.03,540.46,532.71,533.57,1962600.00,,,,,
41962.00,533.54,536.77,528.63,535.52,1392200.00,,,,,
41963.00,529.80,533.64,529.63,533.37,1563300.00,,,,,
41964.00,540.13,540.66,535.09,536.03,2224200.00,,,,,
41967.00,536.18,541.21,534.15,537.79,1706300.00,,,,,
41968.00,537.52,542.49,537.13,539.60,1789900.00,,,,,
41969.00,539.40,540.07,535.57,538.89,1522900.00,,,,,
41971.00,539.14,540.52,535.13,540.35,1148300.00,,,,,
41974.00,537.42,539.93,530.40,532.34,2115300.00,,,,,
41975.00,532.05,534.03,528.35,532.29,1526600.00,,,,,
41976.00,529.98,534.53,527.81,529.87,1277900.00,,,,,
41977.00,529.71,535.87,527.14,535.84,1392100.00,,,,,
41978.00,529.55,531.43,522.84,523.82,2565600.00,,,,,
41981.00,525.69,529.55,522.36,525.54,2329300.00,,,,,
41982.00,520.71,532.73,519.07,531.91,1871300.00,,,,,
41983.00,531.62,534.86,524.12,524.62,1712200.00,,,,,
41984.00,526.35,532.46,525.66,526.89,1610800.00,,,,,
41985.00,522.08,527.05,517.24,517.24,1994500.00,,,,,
41988.00,521.31,521.67,511.86,512.39,2813400.00,,,,,
41989.00,510.16,511.65,487.66,494.03,3964200.00,,,,,
41990.00,495.64,505.61,495.45,503.51,2883100.00,,,,,
41991.00,511.55,512.46,503.32,509.70,2926700.00,,,,,
41992.00,510.11,516.30,505.52,514.94,3690200.00,,,,,
41995.00,514.67,525.02,514.67,523.43,2723700.00,,,,,
41996.00,525.56,533.10,524.85,529.14,2197600.00,,,,,
41997.00,529.06,530.30,525.58,527.32,705900.00,,,,,
41999.00,527.32,532.79,525.87,532.57,1040500.00,,,,,
42002.00,530.73,534.01,528.56,528.88,2278500.00,,,,,
42003.00,526.64,529.70,525.69,528.97,876200.00,,,,,
42004.00,529.80,531.14,524.36,524.96,1368200.00,,,,,
42006.00,527.56,529.82,522.67,523.37,1447500.00,,,,,
